id,category,year,rating,genre,certification,movies,degree
Peter Dinklage,actor,,,,,1,2
Kali Rocha,actor,,,,,1,2
Anton Yelchin,actor,,,,,1,2
Danny Sapani,actor,,,,,1,2
Aldo Ray,actor,,,,,1,2
Bob Odenkirk,actor,,,,,1,2
Rob Malone,actor,,,,,1,2
Jennifer Lopez,actor,,,,,3,2
Edward Norton,actor,,,,,8,2
Frankie Muniz,actor,,,,,5,1
Mackenzie Foy,actor,,,,,1,2
Shawn Ashmore,actor,,,,,1,2
Jack Frost,movie,1998,5.4,"Comedy, Drama, Family",PG,,3
Terrence Howard,actor,,,,,2,2
Helen Mirren,actor,,,,,8,2
Taxi Driver,movie,1976,8.2,"Crime, Drama",R,,3
Billy Bob Thornton,actor,,,,,6,2
Matt Helm,actor,,,,,1,2
Margo Martindale,actor,,,,,2,2
Don Harvey,actor,,,,,1,2
Safe Haven,movie,2013,6.6,"Drama, Romance, Thriller",PG-13,,3
Irrfan Khan,actor,,,,,1,2
Gregg Edelman,actor,,,,,1,2
You Kill Me,movie,2007,6.4,"Comedy, Crime, Romance",R,,3
Cats & Dogs,movie,2001,5.1,"Action, Adventure, Comedy",PG,,3
The Yards,movie,2000,6.4,"Crime, Drama, Romance",R,,3
Kin,movie,2018,5.8,"Action, Drama, Sci-Fi",PG-13,,3
Hume Cronyn,actor,,,,,1,2
Henry & June,movie,1990,6.3,"Biography, Drama",NC-17,,3
Eric Bana,actor,,,,,1,2
Mélanie Laurent,actor,,,,,4,2
It Chapter Two,movie,2019,6.5,"Drama, Fantasy, Horror",R,,3
Colin Hanks,actor,,,,,3,2
Cathy Tyson,actor,,,,,1,2
The Perfect Storm,movie,2000,6.5,"Action, Adventure, Drama",PG-13,,3
Sigge Fürst,actor,,,,,1,2
Martin Shaw,actor,,,,,1,2
Michael Pitt,actor,,,,,1,2
Freddy Rodríguez,actor,,,,,1,2
Wanted,movie,2009,6.6,"Action, Crime, Thriller",Not Rated,,3
Lolita Davidovich,actor,,,,,2,2
Angela Lansbury,actor,,,,,3,2
Tombstone,movie,1993,7.8,"Biography, Drama, History",R,,3
Bridget Fonda,actor,,,,,12,1
Bérénice Bejo,actor,,,,,1,2
Henry Dinhofer,actor,,,,,1,2
Steve McQueen,actor,,,,,1,2
Delphine French,actor,,,,,1,2
Gwyneth Paltrow,actor,,,,,5,2
Charlie Tahan,actor,,,,,1,2
Cliff Robertson,actor,,,,,1,2
Jason Biggs,actor,,,,,1,2
Cape Fear,movie,1991,7.3,"Crime, Thriller",R,,3
Wenwen Han,actor,,,,,1,2
Greyhound,movie,2020,7.0,"Action, Drama, History",PG-13,,3
Scream,movie,2022,6.3,"Horror, Mystery, Thriller",R,,3
Billy Burke,actor,,,,,4,2
Jonathan Pryce,actor,,,,,2,2
Volunteers,movie,1985,5.5,"Adventure, Comedy",R,,3
Backdraft,movie,1991,6.7,"Action, Drama, Mystery",R,,3
Ken Takakura,actor,,,,,1,2
One True Thing,movie,1998,6.9,Drama,R,,3
George Dzundza,actor,,,,,1,2
Bob Balaban,actor,,,,,1,2
Rebecca Da Costa,actor,,,,,1,2
Big Fat Liar,movie,2002,5.5,"Adventure, Comedy, Family",PG,,3
Dougray Scott,actor,,,,,1,2
Bryan Hearne,actor,,,,,1,2
Tim Blake Nelson,actor,,,,,1,2
Oakes Fegley,actor,,,,,1,2
Ray Wise,actor,,,,,1,2
Joseph Gordon-Levitt,actor,,,,,7,2
Æon Flux,movie,2005,5.4,"Action, Adventure, Sci-Fi",PG-13,,3
Jonah Blechman,actor,,,,,1,2
The King of Comedy,movie,1982,7.8,"Comedy, Crime, Drama",PG,,3
Natalia Dyer,actor,,,,,1,2
Jon Hamm,actor,,,,,1,2
Robert Downey Jr.,actor,,,,,6,2
Freeheld,movie,2015,6.6,"Biography, Drama, Romance",PG-13,,3
Jaime Winstone,actor,,,,,1,2
Kurt Russell,actor,,,,,8,2
Catherine Zeta-Jones,actor,,,,,4,2
Tawny Kitaen,actor,,,,,1,2
Nikki SooHoo,actor,,,,,1,2
Little Man Tate,movie,1991,6.6,Drama,PG,,3
Jenna Stern,actor,,,,,1,2
The United States vs. Billie Holiday,movie,2021,6.3,"Biography, Drama, Music",R,,3
The Ledge,movie,2011,6.5,"Drama, Romance, Thriller",R,,3
Tom Skerritt,actor,,,,,1,2
Chad Allen,actor,,,,,1,2
Daniel Benzali,actor,,,,,1,2
Richard Marcus,actor,,,,,1,2
James Marsden,actor,,,,,3,2
Sam Elliott,actor,,,,,1,2
Li Sun,actor,,,,,1,2
Andreas Wisniewski,actor,,,,,1,2
The Three Musketeers,movie,2011,5.7,"Action, Adventure, Fantasy",PG-13,,3
Emmanuelle Béart,actor,,,,,1,2
The Wolf of Snow Hollow,movie,2020,6.2,"Comedy, Horror, Mystery",R,,3
Kim Darby,actor,,,,,1,2
Jeannetta Arnette,actor,,,,,1,2
Short Circuit,movie,1986,6.6,"Comedy, Family, Sci-Fi",PG,,3
Lili Taylor,actor,,,,,2,2
Raul Julia,actor,,,,,2,2
John Lone,actor,,,,,2,2
Then She Found Me,movie,2007,5.9,"Comedy, Drama, Romance",R,,3
Richard Crenna,actor,,,,,1,2
The Devil's Advocate,movie,1997,7.5,"Drama, Fantasy, Mystery",R,,3
Code 46,movie,2003,6.1,"Drama, Romance, Sci-Fi",R,,3
Alex & Emma,movie,2003,5.5,"Comedy, Romance",PG-13,,3
Emily Blunt,actor,,,,,8,2
Christopher Adamson,actor,,,,,1,2
Jocelyn DeBoer,actor,,,,,1,2
I Can Only Imagine,movie,2018,7.3,"Biography, Drama, Family",PG,,3
Lee Grant,actor,,,,,1,2
Cedric Hardwicke,actor,,,,,1,2
Matthew Morrison,actor,,,,,1,2
Suzy Amis,actor,,,,,1,2
Nathan Lane,actor,,,,,2,2
Casa de mi Padre,movie,2012,5.5,"Comedy, Western",R,,3
Woody Harrelson,actor,,,,,11,2
By the Sea,movie,2015,5.3,"Drama, Romance",R,,3
Jeremy Irons,actor,,,,,6,2
Words on Bathroom Walls,movie,2020,7.2,"Drama, Romance",PG-13,,3
Nat Wolff,actor,,,,,1,2
James Hamrick,actor,,,,,1,2
Adaptation.,movie,2002,7.7,"Comedy, Drama",R,,3
Tilda Swinton,actor,,,,,2,2
Michael Shannon,actor,,,,,3,2
Darren Barnet,actor,,,,,1,2
Juliette Lewis,actor,,,,,5,2
Steve Zahn,actor,,,,,2,2
Kang Hye-jeong,actor,,,,,1,2
Isla Fisher,actor,,,,,2,2
Mystic River,movie,2003,7.9,"Crime, Drama, Mystery",R,,1
Francis Capra,actor,,,,,1,2
Susan Sarandon,actor,,,,,8,2
The Irishman,movie,2019,7.8,"Biography, Crime, Drama",R,,3
Isabella Rossellini,actor,,,,,3,2
Craig Ferguson,actor,,,,,1,2
John Colicos,actor,,,,,1,2
Louis C.K.,actor,,,,,1,2
Huma Qureshi,actor,,,,,1,2
Man Down,movie,2015,5.9,"Drama, Thriller, War",R,,3
Josh Duhamel,actor,,,,,2,2
Ty Simpkins,actor,,,,,1,2
Demián Bichir,actor,,,,,1,2
Beauty Shop,movie,2005,5.6,Comedy,PG-13,,3
The Last King of Scotland,movie,2006,7.6,"Biography, Drama, History",R,,3
Bill Farmer,actor,,,,,1,2
David Andrews,actor,,,,,1,2
Emily Morgan,actor,,,,,1,2
Silkwood,movie,1983,7.1,"Biography, Drama, History",R,,3
Lindsay Sloane,actor,,,,,1,2
The Cooler,movie,2003,6.9,"Drama, Romance",R,,3
Jack Reacher: Never Go Back,movie,2016,6.1,"Action, Crime, Drama",PG-13,,3
Once Upon a Time in Venice,movie,2017,5.3,"Action, Adventure, Comedy",Not Rated,,3
Mae Clarke,actor,,,,,1,2
Ned Dowd,actor,,,,,1,2
Adrien Brody,actor,,,,,2,2
My Super Ex-Girlfriend,movie,2006,5.2,"Comedy, Romance, Sci-Fi",PG-13,,3
Flight,movie,2012,7.3,"Drama, Thriller",R,,3
Robot & Frank,movie,2012,7.0,"Comedy, Crime, Drama",PG-13,,3
José María Yazpik,actor,,,,,1,2
Ian McKellen,actor,,,,,3,2
Jack Lemmon,actor,,,,,2,2
Playing for Keeps,movie,2012,5.7,"Comedy, Romance, Sport",PG-13,,3
Eartha Kitt,actor,,,,,2,2
Employee of the Month,movie,2006,5.5,"Comedy, Romance",PG-13,,3
Monsters vs. Aliens,movie,2009,6.4,"Animation, Action, Adventure",PG,,3
Burn After Reading,movie,2008,7.0,"Comedy, Crime, Drama",R,,3
Take Shelter,movie,2011,7.3,"Drama, Horror, Sci-Fi",R,,3
Su Elliot,actor,,,,,1,2
Hilary Duff,actor,,,,,1,2
Chloe Webb,actor,,,,,2,2
Penelope Mitchell,actor,,,,,1,2
Jimmy O. Yang,actor,,,,,1,2
Debra Winger,actor,,,,,1,2
Internal Affairs,movie,1990,6.5,"Crime, Drama, Thriller",R,,3
Christian Slater,actor,,,,,22,1
The Door in the Floor,movie,2004,6.6,"Comedy, Drama",R,,3
Taylor John Smith,actor,,,,,1,2
The Missouri Breaks,movie,1976,6.5,"Drama, Western",PG,,3
Air Force One,movie,1997,6.5,"Action, Drama, Thriller",R,,3
Monsters University,movie,2013,7.2,"Animation, Adventure, Comedy",G,,3
Henry Gibson,actor,,,,,1,2
Jesse James,actor,,,,,1,2
Jessica Simpson,actor,,,,,1,2
Antitrust,movie,2001,6.1,"Action, Crime, Drama",PG-13,,3
Eleonora Giorgi,actor,,,,,1,2
Bryan Cranston,actor,,,,,4,2
Sherlock Gnomes,movie,2018,5.2,"Animation, Adventure, Comedy",PG,,3
Rufus Sewell,actor,,,,,2,2
Haley Joel Osment,actor,,,,,3,2
RED,movie,2010,7.0,"Action, Comedy, Crime",PG-13,,3
Hailee Steinfeld,actor,,,,,2,2
Peter MacNicol,actor,,,,,1,2
In the Army Now,movie,1994,4.9,"Comedy, War",PG,,3
W.,movie,2008,6.3,"Biography, Comedy, Drama",PG-13,,3
Debbie Harry,actor,,,,,1,2
Steve Guttenberg,actor,,,,,11,1
Daria Nicolodi,actor,,,,,1,2
Arsenio Castellanos,actor,,,,,1,2
The Bag Man,movie,2014,5.2,"Action, Crime, Drama",R,,3
Carole Lombard,actor,,,,,1,2
Margaret Langrick,actor,,,,,1,2
Rumor Has It...,movie,2005,5.5,"Comedy, Drama, Romance",PG-13,,3
Logan Marshall-Green,actor,,,,,1,2
Salman Khan,actor,,,,,1,2
Jason Momoa,actor,,,,,2,2
Badhaai Do,movie,2022,7.0,"Comedy, Crime, Drama",,,3
Splinter,movie,2008,6.1,"Crime, Horror, Sci-Fi",R,,3
To Rome with Love,movie,2012,6.3,"Comedy, Music, Romance",R,,3
JoBeth Williams,actor,,,,,1,2
Saurabh Shukla,actor,,,,,1,2
Sleepers,movie,1996,7.5,"Crime, Drama, Thriller",R,,1
15 Minutes,movie,2001,6.1,"Action, Crime, Drama",R,,3
Lorraine Bracco,actor,,,,,1,2
Brooklyn Decker,actor,,,,,1,2
Dennis Christopher,actor,,,,,1,2
Sarita Choudhury,actor,,,,,1,2
Matt Dillon,actor,,,,,19,1
Leviathan,movie,1989,5.8,"Adventure, Horror, Mystery",R,,3
Drew Barrymore,actor,,,,,6,2
Joseph Sikora,actor,,,,,1,2
RoboCop,movie,2014,6.1,"Action, Crime, Sci-Fi",PG-13,,3
Dax Shepard,actor,,,,,3,2
Geronimo: An American Legend,movie,1993,6.5,"Drama, History, Western",PG-13,,3
Stuart Townsend,actor,,,,,5,1
Captain Phillips,movie,2013,7.8,"Action, Biography, Crime",PG-13,,3
The Assassination of Richard Nixon,movie,2004,6.9,"Biography, Crime, Drama",R,,3
Paul Bettany,actor,,,,,1,2
Kiss of the Dragon,movie,2001,6.6,"Action, Crime, Thriller",R,,3
Max Records,actor,,,,,1,2
Twisted,movie,2004,5.3,"Crime, Drama, Mystery",R,,3
Kayli Carter,actor,,,,,1,2
Tideland,movie,2005,6.3,"Drama, Fantasy, Horror",R,,3
Anne Heche,actor,,,,,4,2
Lily-Rose Depp,actor,,,,,1,2
Laura San Giacomo,actor,,,,,2,2
The Post,movie,2017,7.2,"Biography, Drama, History",PG-13,,3
Piranha 3D,movie,2010,5.5,"Comedy, Horror",R,,3
Jason Bateman,actor,,,,,7,2
Gugu Mbatha-Raw,actor,,,,,1,2
Open Range,movie,2003,7.4,"Action, Drama, Romance",R,,3
The French Lieutenant's Woman,movie,1981,6.9,"Drama, Romance",R,,3
Stick It,movie,2006,6.4,"Comedy, Drama, Sport",PG-13,,3
Home Alone,movie,1990,7.7,"Comedy, Family",PG,,3
Nomadland,movie,2020,7.3,Drama,R,,3
Christopher Lee,actor,,,,,1,2
Cillian Murphy,actor,,,,,3,2
Omid Djalili,actor,,,,,1,2
Sally Hawkins,actor,,,,,2,2
The Counselor,movie,2013,5.4,"Crime, Drama, Thriller",R,,3
Jeff Goldblum,actor,,,,,4,2
Thir13en Ghosts,movie,2001,5.6,"Fantasy, Horror",R,,3
Jonathan Daniel Brown,actor,,,,,1,2
Miranda Otto,actor,,,,,2,2
Albert Finney,actor,,,,,1,2
John C. McGinley,actor,,,,,1,2
Sweet and Lowdown,movie,1999,7.2,"Comedy, Drama, Music",PG-13,,3
Robin Tunney,actor,,,,,3,2
Robert Duvall,actor,,,,,10,2
Cate Blanchett,actor,,,,,5,2
Vithaya Pansringarm,actor,,,,,3,1
Jon Lovitz,actor,,,,,1,2
"Greystoke: The Legend of Tarzan, Lord of the Apes",movie,1984,6.4,"Adventure, Drama",PG,,3
Dane Cook,actor,,,,,3,2
John Garfield,actor,,,,,1,2
The Vanished,movie,2020,5.7,"Action, Crime, Horror",R,,3
The Hitman's Bodyguard,movie,2017,6.9,"Action, Comedy, Crime",R,,3
Green Lantern,movie,2011,5.5,"Action, Adventure, Sci-Fi",PG-13,,3
Breaking Away,movie,1979,7.7,"Comedy, Drama, Sport",PG,,3
Vera Farmiga,actor,,,,,4,2
Phillipa Soo,actor,,,,,1,2
Jon Foster,actor,,,,,3,2
Magic in the Moonlight,movie,2014,6.5,"Comedy, Drama, Romance",PG-13,,3
Into the Forest,movie,2015,5.8,"Drama, Thriller",R,,3
Blake Lively,actor,,,,,1,2
Bruce Altman,actor,,,,,1,2
Stealing Beauty,movie,1996,6.5,"Drama, Mystery, Romance",R,,3
Mark Webber,actor,,,,,1,2
Diane Keaton,actor,,,,,7,2
John Heard,actor,,,,,5,2
Snatch,movie,2000,8.2,"Comedy, Crime",R,,3
Life of Crime,movie,2013,5.8,"Comedy, Crime",R,,3
The Borrowers,movie,1997,5.9,"Adventure, Comedy, Family",PG,,3
Mafia!,movie,1998,5.5,"Comedy, Crime",PG-13,,3
Seann William Scott,actor,,,,,1,2
Skyscraper,movie,2018,5.8,"Action, Adventure, Thriller",PG-13,,3
Catherine O'Hara,actor,,,,,1,2
Righteous Kill,movie,2008,6.0,"Crime, Mystery, Thriller",R,,3
Paul Newman,actor,,,,,2,2
The Bridges of Madison County,movie,1995,7.6,"Drama, Romance",PG-13,,3
Michael Jeter,actor,,,,,1,2
Léon: The Professional,movie,1994,8.5,"Action, Crime, Drama",R,,3
Christopher Meloni,actor,,,,,1,2
Nick Offerman,actor,,,,,1,2
Scream 3,movie,2000,5.6,"Horror, Mystery",R,,3
Ray Milland,actor,,,,,1,2
Ali MacGraw,actor,,,,,1,2
A Simple Plan,movie,1998,7.5,"Crime, Drama, Thriller",R,,3
Jessica Biel,actor,,,,,3,2
What a Girl Wants,movie,2003,5.8,"Comedy, Drama, Family",PG,,3
Susan Kelechi Watson,actor,,,,,1,2
Out of Africa,movie,1985,7.1,"Biography, Drama, Romance",PG,,3
Hays Wellford,actor,,,,,1,1
Shelley Duvall,actor,,,,,1,2
Victor Frankenstein,movie,2015,5.9,"Drama, Horror, Sci-Fi",PG-13,,3
Dennis Farina,actor,,,,,2,2
Moira Brooker,actor,,,,,1,2
Fred Hechinger,actor,,,,,1,2
The League of Extraordinary Gentlemen,movie,2003,5.8,"Action, Adventure, Fantasy",PG-13,,3
Woody Allen,actor,,,,,3,2
Lloyd Bridges,actor,,,,,3,2
Michael Gambon,actor,,,,,1,2
The Boss Baby,movie,2017,6.3,"Animation, Adventure, Comedy",PG,,3
Hope Springs,movie,2012,6.3,"Comedy, Drama, Romance",PG-13,,3
Awakenings,movie,1990,7.8,"Biography, Drama",PG-13,,3
Jay Duplass,actor,,,,,1,2
Interstate 60: Episodes of the Road,movie,2002,7.6,"Adventure, Comedy, Drama",R,,3
David Herman,actor,,,,,1,2
Jeffrey Wright,actor,,,,,2,2
George MacKay,actor,,,,,2,2
Daniel Brühl,actor,,,,,1,2
John Goodman,actor,,,,,38,1
Genius,movie,2016,6.5,"Biography, Drama",PG-13,,3
To Die For,movie,1995,6.8,"Comedy, Crime, Drama",R,,3
Eiza González,actor,,,,,1,2
Valeria Golino,actor,,,,,1,2
Dennis Quaid,actor,,,,,47,1
Management,movie,2008,5.8,"Comedy, Drama, Romance",R,,3
Briana Evigan,actor,,,,,1,2
Steve Valentine,actor,,,,,1,2
Nights in Rodanthe,movie,2008,6.0,"Drama, Romance",PG-13,,3
Mary McCormack,actor,,,,,1,2
Nina Arianda,actor,,,,,2,2
Elephant White,movie,2011,5.0,"Action, Crime, Thriller",R,,1
Christopher Lawford,actor,,,,,1,2
Maisie Williams,actor,,,,,1,2
Shea Fowler,actor,,,,,1,2
Snake Eyes,movie,2021,5.4,"Action, Adventure, Crime",PG-13,,3
Gemma Ward,actor,,,,,1,2
Dan Hedaya,actor,,,,,1,2
Brett Harrelson,actor,,,,,1,2
Sam Neill,actor,,,,,4,2
White Oleander,movie,2002,7.1,Drama,PG-13,,3
Office Christmas Party,movie,2016,5.9,Comedy,R,,3
Amrita Puri,actor,,,,,1,2
The Sitter,movie,2011,5.6,Comedy,R,,3
Danielle Macdonald,actor,,,,,1,2
Lisa Kudrow,actor,,,,,4,2
Damon Wayans Jr.,actor,,,,,1,2
Gordon Brown,actor,,,,,1,2
Concussion,movie,2015,7.1,"Biography, Drama, Sport",PG-13,,3
Falling in Love,movie,1984,6.5,"Drama, Romance",PG-13,,3
Red Notice,movie,2021,6.3,"Action, Comedy, Thriller",PG-13,,3
Confessions of a Dangerous Mind,movie,2002,7.0,"Biography, Comedy, Crime",R,,3
Alexander Godunov,actor,,,,,1,2
James Caan,actor,,,,,2,2
I.Q.,movie,1994,6.2,"Comedy, Romance",PG,,3
Josh Brolin,actor,,,,,20,1
The Interpreter,movie,2005,6.4,"Crime, Mystery, Thriller",PG-13,,3
Whip It,movie,2009,6.9,"Drama, Sport",PG-13,,3
Edison Chen,actor,,,,,1,2
Billy Barty,actor,,,,,1,2
Trance,movie,2013,6.9,"Crime, Drama, Mystery",R,,3
Casualties of War,movie,1989,7.1,"Action, Crime, Drama",R,,3
Beautiful Girls,movie,1996,7.1,"Comedy, Drama, Romance",R,,3
City Slickers,movie,1991,6.8,"Comedy, Western",PG-13,,3
Rain Man,movie,1988,8.0,Drama,R,,3
Iron Man,movie,2008,7.9,"Action, Adventure, Sci-Fi",PG-13,,3
Ziyi Zhang,actor,,,,,2,2
Joel Gretsch,actor,,,,,1,2
Madison Iseman,actor,,,,,1,2
Agent Cody Banks,movie,2003,5.1,"Action, Adventure, Comedy",PG,,3
Matthew Goode,actor,,,,,3,2
Monica Bellucci,actor,,,,,1,2
Elizabeth McGovern,actor,,,,,6,1
U-571,movie,2000,6.6,"Action, War",PG-13,,3
Don Stroud,actor,,,,,1,2
Kerry Washington,actor,,,,,2,2
Crisis,movie,2021,6.2,"Drama, Thriller",R,,3
Malice,movie,1993,6.5,"Crime, Mystery, Thriller",R,,3
Ellar Coltrane,actor,,,,,1,2
The Big Wedding,movie,2013,5.6,"Comedy, Drama, Romance",R,,3
Red Riding Hood,movie,2011,5.4,"Fantasy, Horror, Mystery",PG-13,,3
The Two Jakes,movie,1990,6.1,"Crime, Drama, Mystery",R,,3
Elodie Yung,actor,,,,,1,2
Spy Game,movie,2001,7.0,"Action, Crime, Thriller",R,,3
The Astronaut's Wife,movie,1999,5.4,"Drama, Sci-Fi, Thriller",R,,3
Let Them All Talk,movie,2020,6.1,"Comedy, Drama",R,,3
Operation Mincemeat,movie,2021,6.6,"Drama, War",PG-13,,3
In the Electric Mist,movie,2009,6.1,"Crime, Drama, Mystery",R,,3
The Handmaid's Tale,movie,1990,6.0,"Drama, Romance, Sci-Fi",R,,3
Jagged Edge,movie,1985,6.5,"Drama, Mystery, Thriller",R,,3
Susan Tyrrell,actor,,,,,1,2
Elizabeth Olsen,actor,,,,,2,2
David Oyelowo,actor,,,,,1,2
Ronin,movie,1998,7.2,"Action, Crime, Thriller",R,,3
X-Men: Days of Future Past,movie,2014,7.9,"Action, Adventure, Sci-Fi",PG-13,,3
Robert Carlyle,actor,,,,,2,2
The Right Stuff,movie,1983,7.8,"Adventure, Biography, Drama",PG,,3
Dean Norris,actor,,,,,1,2
John Michael Higgins,actor,,,,,1,2
Reindeer Games,movie,2000,5.8,"Action, Crime, Thriller",R,,3
Young Adult,movie,2011,6.3,"Comedy, Drama",R,,3
Sally Field,actor,,,,,4,2
Katie Jarvis,actor,,,,,1,2
Rubén Blades,actor,,,,,2,2
Michelle Pfeiffer,actor,,,,,9,2
"Definitely, Maybe",movie,2008,7.1,"Comedy, Drama, Romance",PG-13,,3
Jacob Kogan,actor,,,,,1,2
Killshot,movie,2008,6.0,"Action, Crime, Drama",R,,3
Matt Craven,actor,,,,,1,2
The Vanishing,movie,2018,5.9,"Drama, Mystery, Thriller",R,,3
Born on the Fourth of July,movie,1989,7.2,"Biography, Drama, War",R,,3
Michael Beach,actor,,,,,1,2
Valkyrie,movie,2008,7.1,"Drama, History, Thriller",PG-13,,3
Meg Ryan,actor,,,,,8,2
Mark Williams,actor,,,,,1,2
Siobhan Fallon Hogan,actor,,,,,1,2
Charles Fleischer,actor,,,,,2,2
The Amityville Horror,movie,2005,5.9,Horror,R,,3
Zoey Deutch,actor,,,,,1,2
The Hunger Games: Mockingjay - Part 2,movie,2015,6.5,"Action, Adventure, Sci-Fi",PG-13,,3
Wendy Crewson,actor,,,,,1,2
Brendan Fraser,actor,,,,,21,1
Adrian Pasdar,actor,,,,,1,2
Jim Caviezel,actor,,,,,2,2
Rosie O'Donnell,actor,,,,,2,2
Rosamund Pike,actor,,,,,3,2
Jake Gyllenhaal,actor,,,,,5,2
Will Forte,actor,,,,,1,2
Closer,movie,2004,7.2,"Drama, Romance",R,,3
The Assassination of Jesse James by the Coward Robert Ford,movie,2007,7.5,"Biography, Crime, Drama",R,,3
Scott Glenn,actor,,,,,3,2
Taps,movie,1981,6.7,Drama,PG,,3
The Firm,movie,1993,6.9,"Drama, Mystery, Thriller",R,,3
Kierston Wareing,actor,,,,,1,2
Ocean's Twelve,movie,2004,6.5,"Crime, Thriller",PG-13,,3
Sea of Love,movie,1989,6.8,"Crime, Drama, Mystery",R,,3
Gerald R. Molen,actor,,,,,1,2
Ilan Mitchell-Smith,actor,,,,,1,2
Captain Haggerty,actor,,,,,1,2
Fred Ward,actor,,,,,11,1
Seth Green,actor,,,,,1,2
Zach Braff,actor,,,,,1,2
Sigourney Weaver,actor,,,,,3,2
Harvey Keitel,actor,,,,,6,2
Glass,movie,2019,6.6,"Drama, Horror, Sci-Fi",PG-13,,3
Jude Law,actor,,,,,5,2
Viggo Mortensen,actor,,,,,3,2
Ben Duncan,actor,,,,,1,2
John Ashton,actor,,,,,1,2
What to Expect When You're Expecting,movie,2012,5.7,"Comedy, Drama, Romance",PG-13,,3
Delroy Lindo,actor,,,,,3,2
Linda Cardellini,actor,,,,,3,2
Newton,movie,2017,7.6,"Comedy, Drama",Not Rated,,3
Embeth Davidtz,actor,,,,,10,1
Vanessa Williams,actor,,,,,1,2
Home Alone 2: Lost in New York,movie,1992,6.8,"Adventure, Comedy, Crime",PG,,3
Chin Han,actor,,,,,1,2
Hoffa,movie,1992,6.6,"Biography, Crime, Drama",R,,3
Lea Thompson,actor,,,,,2,2
Joseph Ruskin,actor,,,,,1,2
Rabbit Hole,movie,2010,7.0,Drama,PG-13,,3
John Higgins,actor,,,,,1,2
Andie MacDowell,actor,,,,,15,1
Bingbing Li,actor,,,,,1,2
C.H.U.D.,movie,1984,5.6,"Horror, Sci-Fi",R,,3
Anthony Luke Lucero,actor,,,,,1,2
The Ninth Gate,movie,1999,6.7,"Mystery, Thriller",R,,3
Killing Season,movie,2013,5.4,"Action, Drama, Thriller",R,,3
Courteney Cox,actor,,,,,5,2
Diego Boneta,actor,,,,,1,2
Elsa Zylberstein,actor,,,,,1,2
Kennedi Clements,actor,,,,,1,2
Elena Lyadova,actor,,,,,1,2
Dave,movie,1993,6.9,"Comedy, Romance",PG-13,,3
Kate Nelligan,actor,,,,,2,2
John Candy,actor,,,,,3,2
Amy Adams,actor,,,,,10,2
Jack Warner,actor,,,,,1,2
Richard Dreyfuss,actor,,,,,5,2
Rene Russo,actor,,,,,5,2
Linda Warren,actor,,,,,1,2
Sope Dirisu,actor,,,,,1,2
Odeya Rush,actor,,,,,1,2
Catherine Keener,actor,,,,,6,2
The Shawshank Redemption,movie,1994,9.3,Drama,R,,3
Mamma Mia!,movie,2008,6.5,"Comedy, Musical, Romance",PG-13,,3
Nights of Cabiria,movie,1957,8.1,Drama,Not Rated,,4
The Hunger Games,movie,2012,7.2,"Action, Adventure, Sci-Fi",PG-13,,3
Idiocracy,movie,2006,6.5,"Adventure, Comedy, Sci-Fi",R,,3
Murder at 1600,movie,1997,6.1,"Action, Crime, Drama",R,,3
American Hustle,movie,2013,7.2,"Crime, Drama",R,,3
Lori Singer,actor,,,,,3,1
Let Him Go,movie,2020,6.7,"Crime, Drama, Thriller",R,,3
John Fiedler,actor,,,,,1,2
Enemy Mine,movie,1985,6.8,"Action, Adventure, Drama",PG-13,,3
Lukas Haas,actor,,,,,1,2
Joe Versus the Volcano,movie,1990,5.9,"Comedy, Romance",PG,,3
Human Nature,movie,2001,6.4,"Comedy, Drama",R,,3
Cameron Boyce,actor,,,,,1,2
Anders Holm,actor,,,,,1,2
Mr. Jones,movie,2019,6.9,"Biography, Drama, Thriller",,,3
Gail O'Grady,actor,,,,,1,2
Collateral,movie,2004,7.5,"Action, Crime, Drama",R,,3
Aldis Hodge,actor,,,,,1,2
Larry B. Scott,actor,,,,,1,2
Patrick Bergin,actor,,,,,1,2
Arielle Carver-O'Neill,actor,,,,,1,2
Far from Heaven,movie,2002,7.3,"Drama, Romance",PG-13,,3
Powers Boothe,actor,,,,,2,2
Bachelor Party,movie,1984,6.3,Comedy,R,,3
Lisanne Falk,actor,,,,,1,2
James Le Gros,actor,,,,,1,2
Ray Liotta,actor,,,,,6,2
Asa Butterfield,actor,,,,,2,2
Little Fockers,movie,2010,5.5,"Comedy, Romance",PG-13,,3
Douglas M. Griffin,actor,,,,,1,2
Blue Thunder,movie,1983,6.4,"Action, Crime, Drama",R,,3
Elijah Wood,actor,,,,,2,2
On the Road,movie,2012,6.0,"Adventure, Drama, Romance",R,,3
Ghost,movie,1990,7.1,"Drama, Fantasy, Romance",PG-13,,3
Land,movie,2021,6.7,"Adventure, Drama",PG-13,,3
Mary Elizabeth Winstead,actor,,,,,1,2
Warlock,movie,1989,6.2,"Action, Fantasy, Horror",R,,3
O'Shea Jackson Jr.,actor,,,,,1,2
David Cross,actor,,,,,1,2
Shelley Winters,actor,,,,,1,2
Music of the Heart,movie,1999,6.8,"Drama, Music",PG,,3
Waiting...,movie,2005,6.7,Comedy,R,,3
Sarah Chalke,actor,,,,,1,2
Danny Aiello,actor,,,,,6,2
Alfre Woodard,actor,,,,,2,2
Chris Farley,actor,,,,,1,2
Antje Traue,actor,,,,,1,2
Claudia Stedelin,actor,,,,,1,2
Patrick Wilson,actor,,,,,6,2
