id,category,year,rating,genre,certification,movies,degree
The Cider House Rules,movie,1999,7.4,"Drama, Romance",PG-13,,3
One Night at McCool's,movie,2001,6.2,"Comedy, Crime",R,,3
Trace Adkins,actor,,,,,1,2
Madison Pettis,actor,,,,,1,2
Joanne Whalley,actor,,,,,1,2
Jean Dujardin,actor,,,,,1,2
Klaus Maria Brandauer,actor,,,,,1,2
Richard Gere,actor,,,,,6,2
Atomic Blonde,movie,2017,6.7,"Action, Thriller",R,,3
Kate Beckinsale,actor,,,,,5,2
Eddie Izzard,actor,,,,,1,2
Cliffhanger,movie,1993,6.5,"Action, Adventure, Thriller",R,,3
Maria de Medeiros,actor,,,,,1,2
The Mummy Returns,movie,2001,6.4,"Action, Adventure, Fantasy",PG-13,,3
Allied,movie,2016,7.1,"Action, Drama, Romance",R,,3
Marg Helgenberger,actor,,,,,2,2
Melissa McCarthy,actor,,,,,1,2
Luis Guzmán,actor,,,,,1,2
Barfly,movie,1987,7.1,"Comedy, Drama, Romance",R,,3
Savior,movie,1998,7.2,"Drama, War",R,,3
Turner & Hooch,movie,1989,6.2,"Comedy, Crime, Drama",PG,,3
Paul Walker,actor,,,,,1,2
Simon Helberg,actor,,,,,1,2
Christopher Fitzgerald,actor,,,,,1,2
Kevin McCarthy,actor,,,,,1,2
Bill Murray,actor,,,,,3,2
Fair Game,movie,2010,6.8,"Biography, Drama, Thriller",PG-13,,3
Beatrice Straight,actor,,,,,1,2
Shattered,movie,1991,6.5,"Crime, Drama, Mystery",R,,3
Licorice Pizza,movie,2021,7.1,"Comedy, Drama, Romance",R,,3
The Road to Wellville,movie,1994,5.9,"Comedy, Drama",R,,3
Columbus Short,actor,,,,,1,2
Felicity Jones,actor,,,,,3,2
Choi Min-sik,actor,,,,,1,2
Brad Pitt,actor,,,,,40,1
Hesher,movie,2010,6.9,"Comedy, Drama",R,,3
Richard McCabe,actor,,,,,1,2
Jesse Eisenberg,actor,,,,,3,2
Saif Ali Khan,actor,,,,,1,2
William Mapother,actor,,,,,1,2
Stephanie Sigman,actor,,,,,1,2
Michael Cera,actor,,,,,1,2
Margot Robbie,actor,,,,,3,2
Danny Glover,actor,,,,,2,2
Erin Brockovich,movie,2000,7.4,"Biography, Drama",R,,3
Mindhunters,movie,2004,6.3,"Crime, Horror, Thriller",R,,3
Rosie Perez,actor,,,,,3,2
BD Wong,actor,,,,,1,2
Goldie Hawn,actor,,,,,2,2
Saxon Sharbino,actor,,,,,1,2
James Purefoy,actor,,,,,1,2
Katherine Waterston,actor,,,,,2,2
